Вакансия,Работодатель,Зарплата,Ссылка
Программист,ООО Паритет,от 80 000 ₽ на рукиОпыт 1-3 года,https://tomsk.hh.ru/vacancy/114172013?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,ООО АБФ Логистик,Опыт 3-6 лет,https://tomsk.hh.ru/vacancy/113875718?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Не указано,Не указан,Не указана,Не указана
Инженер-программист (Linux-embedded-программист),ООО НПК Техника Дела,70 000 – 200 000 ₽ на рукиБез опыта,https://tomsk.hh.ru/vacancy/114824708?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист приложений прикладного ПО,"Интегра, Группа компаний",от 80 000 ₽ до вычета налоговОпыт 3-6 лет,https://tomsk.hh.ru/vacancy/112658534?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист,ИСЭ СО РАН,60 000 ₽ на рукиБез опыта,https://tomsk.hh.ru/vacancy/114291668?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий инженер-программист,ОАО Манотомь,50 000 – 75 000 ₽ на рукиОпыт 1-3 года,https://tomsk.hh.ru/vacancy/112806616?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,"Компания ЭлеСи, Томск",от 65 000 ₽ на рукиБез опыта,https://tomsk.hh.ru/vacancy/111458209?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,"Компания ЭлеСи, Томск",от 90 000 ₽ на рукиОпыт 1-3 года,https://tomsk.hh.ru/vacancy/111564065?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend-разработчик (стажер),Академия Абдрашитова,Без опытаМожно удалённо,https://tomsk.hh.ru/vacancy/112397886?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
